Rk,Date,,Opponent,Result,Pass Cmp,Pass Att,Pass Pct,Pass Yds,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Total Yds,Yds/Play,First Downs (Pass),First Downs (Rush),First Downs (Pen),First Downs (Tot),Penalties,Penalties (Yds),Fum,Int,TO,Year,D Pass Cmp,D Pass Att,D Pass Pct,D Pass Yds,D Pass TD,D Rush Att,D Rush Yds,D Rush Avg,D Rush TD,D Plays,D Total Yards,D Yds/Play,D First Downs (Pass),D First Downs (Rush),D First Downs (Pen),D First Downs (Tot),D Penalties,D Penalty Yds,D Fum,D Int,D TO
1,9/7/2020,@,Navy,W (55-3),16,22,72.7,279,2,49,301,6.1,5,71,580,8.2,12,15,1,28,1,5,0,1,1,2020,4,8,50,30,0,38,120,3.2,0,46,150,3.3,1,6,0,7,6,54,1,0,1
2,9/26/2020,,Troy,W (48-7),28,34,82.4,472,2,46,194,4.2,4,80,666,8.3,17,13,2,32,2,15,1,0,1,2020,21,36,58.3,162,0,18,19,1.1,1,54,181,3.4,7,1,0,8,5,50,0,0,0
3,10/2/2020,,Louisiana Tech,W (45-14),24,26,92.3,325,2,38,188,4.9,4,64,513,8,14,11,1,26,5,50,0,0,0,2020,22,33,66.7,239,2,31,74,2.4,0,64,313,4.9,9,8,2,19,7,58,0,2,2
4,10/10/2020,,Texas-San Antonio,W (27-20),22,30,73.3,292,2,38,178,4.7,2,68,470,6.9,10,9,3,22,7,55,1,0,1,2020,24,33,72.7,287,2,28,72,2.6,0,61,359,5.9,12,4,1,17,9,79,0,1,1
5,10/16/2020,@,Houston,W (43-26),25,35,71.4,400,4,24,78,3.3,2,59,478,8.1,16,4,3,23,9,73,0,0,0,2020,21,33,63.6,310,2,44,128,2.9,1,77,438,5.7,16,8,2,26,10,113,0,0,0
6,10/24/2020,,Texas State,W (52-14),25,36,69.4,352,4,39,247,6.3,2,75,599,8,17,11,2,30,3,33,1,1,2,2020,17,31,54.8,150,2,26,117,4.5,0,57,267,4.7,8,5,2,15,6,55,0,2,2
7,10/31/2020,,Western Kentucky,W (41-10),21,37,56.8,244,3,32,166,5.2,2,69,410,5.9,10,10,5,25,3,35,0,1,1,2020,19,31,61.3,106,1,34,156,4.6,0,65,262,4,6,10,1,17,10,96,1,0,1
8,11/6/2020,@,Boise State,W (51-17),22,28,78.6,360,3,37,213,5.8,4,65,573,8.8,14,9,2,25,4,33,0,0,0,2020,23,38,60.5,249,2,27,61,2.3,0,65,310,4.8,10,3,1,14,4,48,1,1,2
9,11/21/2020,,North Alabama,W (66-14),18,26,69.2,277,5,33,278,8.4,4,59,555,9.4,11,12,2,25,5,43,0,0,0,2020,26,40,65,305,1,28,49,1.8,1,68,354,5.2,16,3,2,21,6,31,2,1,3
10,12/5/2020,@,Coastal Carolina,L (17-22),19,32,59.4,240,1,26,165,6.3,1,58,405,7,12,8,1,21,3,20,1,1,2,2020,10,15,66.7,85,0,54,281,5.2,3,69,366,5.3,4,18,0,22,4,40,1,0,1
11,12/12/2020,,San Diego State,W (28-14),26,35,74.3,303,3,19,83,4.4,0,54,386,7.1,12,4,0,16,5,25,1,0,1,2020,21,31,67.7,230,1,46,182,4,1,77,412,5.4,12,11,0,23,2,25,1,1,2
12,12/22/2020,N,Central Florida*,W (49-23),27,35,77.1,441,3,38,214,5.6,4,73,655,9,19,13,2,34,5,55,0,0,0,2020,21,45,46.7,217,2,43,194,4.5,1,88,411,4.7,14,12,2,28,7,54,0,0,0
1,8/29/2019,,Utah,L (12-30),21,33,63.6,208,0,22,92,4.2,1,55,300,5.5,9,5,0,14,7,63,1,2,3,2019,13,16,81.3,106,0,48,262,5.5,2,64,368,5.8,2,16,3,21,7,64,0,0,0
2,9/7/2019,@,Tennessee,W (29-26),19,30,63.3,232,1,30,107,3.6,2,60,339,5.7,11,6,1,18,7,63,0,0,0,2019,17,28,60.7,176,2,49,242,4.9,0,77,418,5.4,7,10,3,20,6,50,0,1,1
3,9/14/2019,,Southern California,W (30-27),21,34,61.8,299,1,40,131,3.3,2,74,430,5.8,13,8,0,21,5,39,0,0,0,2019,24,34,70.6,281,2,45,171,3.8,1,79,452,5.7,13,9,0,22,5,44,0,3,3
4,9/21/2019,,Washington,L (19-45),26,42,61.9,277,1,27,79,2.9,1,69,356,5.2,13,5,3,21,9,80,2,1,3,2019,24,28,85.7,290,3,39,187,4.8,1,67,477,7.1,14,11,2,27,10,79,1,1,2
5,9/28/2019,@,Toledo,L (21-28),25,44,56.8,354,2,26,101,3.9,1,70,455,6.5,15,3,1,19,6,52,0,1,1,2019,17,28,60.7,206,1,56,242,4.3,2,84,448,5.3,12,12,3,27,3,33,2,1,3
6,10/12/2019,@,South Florida,L (23-27),21,33,63.6,221,1,56,218,3.9,1,89,439,4.9,9,15,2,26,5,40,1,0,1,2019,7,14,50,72,1,44,243,5.5,3,58,315,5.4,2,15,0,17,11,105,1,1,2
7,10/19/2019,,Boise State,W (28-25),15,26,57.7,221,2,33,131,4,2,59,352,6,10,5,1,16,9,84,0,0,0,2019,18,32,56.3,185,2,40,174,4.4,1,72,359,5,9,13,3,25,4,35,0,2,2
8,11/2/2019,@,Utah State,W (42-14),23,33,69.7,418,2,40,225,5.6,4,73,643,8.8,18,12,1,31,5,37,2,1,3,2019,29,49,59.2,394,1,33,127,3.8,1,82,521,6.4,15,11,0,26,8,55,2,3,5
9,11/9/2019,,Liberty,W (31-24),24,34,70.6,306,4,36,165,4.6,0,70,471,6.7,15,6,2,23,5,45,1,1,2,2019,27,46,58.7,303,3,30,128,4.3,0,76,431,5.7,17,8,0,25,6,40,0,0,0
10,11/16/2019,,Idaho State,W (42-10),24,36,66.7,245,2,44,204,4.6,3,80,449,5.6,12,12,3,27,12,85,0,1,1,2019,11,23,47.8,114,0,32,157,4.9,1,55,271,4.9,6,3,1,10,6,60,0,2,2
11,11/23/2019,@,Massachusetts,W (56-24),21,28,75,308,4,40,320,8,4,68,628,9.2,14,12,0,26,3,40,1,0,1,2019,20,30,66.7,146,2,37,146,3.9,1,67,292,4.4,6,8,2,16,6,55,1,1,2
12,11/30/2019,@,San Diego State,L (3-13),32,54,59.3,338,0,27,78,2.9,0,81,416,5.1,15,7,1,23,4,20,1,2,3,2019,19,25,76,172,1,35,97,2.8,0,60,269,4.5,7,5,0,12,4,30,0,0,0
13,12/24/2019,N,Hawaii*,L (34-38),24,41,58.5,274,0,40,231,5.8,4,81,505,6.2,16,11,2,29,2,20,1,2,3,2019,28,47,59.6,493,4,27,2,0.1,1,74,495,6.7,17,2,0,19,6,59,0,0,0
1,9/1/2018,@,Arizona,W (28-23),18,28,64.3,209,1,43,183,4.3,3,71,392,5.5,12,11,0,23,10,94,0,0,0,2018,17,34,50,197,1,35,129,3.7,2,69,326,4.7,11,7,4,22,4,26,0,0,0
2,9/8/2018,,California,L (18-21),22,41,53.7,196,1,33,91,2.8,0,74,287,3.9,9,8,0,17,7,65,0,2,2,2018,23,35,65.7,214,2,38,172,4.5,1,73,386,5.3,10,10,2,22,9,65,2,1,3
3,9/15/2018,@,Wisconsin,W (24-21),13,23,56.5,120,1,28,191,6.8,2,51,311,6.1,5,8,1,14,4,36,0,0,0,2018,18,28,64.3,190,0,43,204,4.7,3,71,394,5.5,9,13,1,23,6,33,0,1,1
4,9/22/2018,,McNeese State,W (30-3),16,27,59.3,130,1,42,161,3.8,2,69,291,4.2,7,9,2,18,5,56,1,0,1,2018,18,26,69.2,134,0,28,73,2.6,0,54,207,3.8,4,4,2,10,10,70,2,2,4
5,9/29/2018,@,Washington,L (7-35),18,21,85.7,160,0,28,34,1.2,1,49,194,4,6,1,0,7,8,50,1,0,1,2018,23,25,92,277,1,37,187,5.1,4,62,464,7.5,15,10,1,26,5,40,1,0,1
6,10/5/2018,,Utah State,L (20-45),30,49,61.2,322,3,16,39,2.4,0,65,361,5.6,14,2,7,23,6,50,2,1,3,2018,18,28,64.3,165,4,42,223,5.3,1,70,388,5.5,8,10,1,19,12,125,0,0,0
7,10/13/2018,,Hawaii,W (49-23),16,24,66.7,194,3,47,280,6,4,71,474,6.7,11,14,1,26,6,55,0,1,1,2018,22,38,57.9,248,2,28,63,2.3,1,66,311,4.7,13,4,1,18,4,25,1,1,2
8,10/27/2018,,Northern Illinois,L (6-7),18,30,60,208,0,37,93,2.5,0,67,301,4.5,9,5,3,17,7,52,0,1,1,2018,10,21,47.6,115,0,36,89,2.5,1,57,204,3.6,5,4,2,11,10,80,0,0,0
9,11/3/2018,@,Boise State,L (16-21),19,29,65.5,292,0,38,96,2.5,1,67,388,5.8,12,7,2,21,8,58,3,0,3,2018,23,35,65.7,214,1,37,113,3.1,2,72,327,4.5,10,10,0,20,7,81,1,1,2
10,11/10/2018,@,Massachusetts,W (35-16),14,23,60.9,167,2,38,225,5.9,3,61,392,6.4,7,12,0,19,2,20,1,0,1,2018,23,33,69.7,183,0,36,102,2.8,2,69,285,4.1,9,5,1,15,1,10,0,0,0
11,11/17/2018,,New Mexico State,W (45-10),13,29,44.8,193,0,51,317,6.2,6,80,510,6.4,9,15,1,25,2,20,1,1,2,2018,25,61,41,264,1,26,48,1.8,0,87,312,3.6,12,7,1,20,5,39,1,2,3
12,11/24/2018,@,Utah,L (27-35),20,29,69,204,2,47,153,3.3,2,76,357,4.7,8,9,0,17,3,22,0,1,1,2018,19,28,67.9,141,1,37,155,4.2,3,65,296,4.6,6,11,1,18,1,10,1,0,1
13,12/21/2018,N,Western Michigan*,W (49-18),19,19,100,358,4,33,132,4,3,52,490,9.4,12,7,3,22,6,55,1,0,1,2018,20,37,54.1,175,0,39,138,3.5,2,76,313,4.1,8,6,2,16,5,37,0,1,1
1,8/26/2017,,Portland State,W (20-6),16,27,59.3,194,1,33,173,5.2,1,60,367,6.1,10,3,0,13,7,70,0,0,0,2017,16,36,44.4,134,1,36,86,2.4,0,72,220,3.1,10,3,1,14,7,70,0,1,1
2,9/2/2017,,Louisiana State,L (0-27),12,24,50,102,0,14,-5,-0.4,0,38,97,2.6,4,1,1,6,5,39,0,1,1,2017,15,18,83.3,183,0,57,296,5.2,3,75,479,6.4,8,16,2,26,10,86,0,0,0
3,9/9/2017,,Utah,L (13-19),21,39,53.8,170,1,24,63,2.6,1,63,233,3.7,8,3,2,13,4,35,0,3,3,2017,28,37,75.7,314,0,36,116,3.2,1,73,430,5.9,11,6,1,18,11,97,2,0,2
4,9/16/2017,,Wisconsin,L (6-40),11,20,55,111,0,26,81,3.1,0,46,192,4.2,5,5,1,11,5,33,0,2,2,2017,18,19,94.7,256,4,49,235,4.8,1,68,491,7.2,9,19,0,28,6,56,0,0,0
5,9/29/2017,@,Utah State,L (24-40),12,29,41.4,186,2,46,210,4.6,0,75,396,5.3,9,11,0,20,8,55,3,4,7,2017,16,30,53.3,176,2,44,112,2.5,1,74,288,3.9,6,7,1,14,4,38,0,1,1
6,10/6/2017,,Boise State,L (7-24),20,37,54.1,172,0,23,66,2.9,1,60,238,4,8,4,0,12,3,35,0,2,2,2017,13,20,65,142,1,47,158,3.4,2,67,300,4.5,8,10,1,19,1,5,0,1,1
7,10/14/2017,@,Mississippi State,L (10-35),17,29,58.6,147,1,17,29,1.7,0,46,176,3.8,4,2,2,8,2,22,1,1,2,2017,20,31,64.5,240,2,53,306,5.8,3,84,546,6.5,14,19,2,35,6,60,1,2,3
8,10/21/2017,@,East Carolina,L (17-33),26,41,63.4,319,2,31,102,3.3,0,72,421,5.8,14,7,1,22,8,69,0,1,1,2017,20,30,66.7,298,2,35,115,3.3,1,65,413,6.4,12,8,2,22,2,15,1,0,1
9,10/28/2017,,San Jose State,W (41-20),21,38,55.3,332,3,39,266,6.8,2,77,598,7.8,15,7,0,22,6,65,1,1,2,2017,25,39,64.1,198,2,41,140,3.4,0,80,338,4.2,12,9,2,23,2,10,4,1,5
10,11/4/2017,@,Fresno State,L (13-20),23,43,53.5,214,0,27,122,4.5,1,70,336,4.8,10,10,1,21,3,25,1,0,1,2017,14,20,70,174,0,40,136,3.4,2,60,310,5.2,8,7,1,16,5,40,0,0,0
11,11/10/2017,@,Nevada-Las Vegas,W (31-21),14,22,63.6,160,1,42,265,6.3,3,64,425,6.6,9,13,2,24,2,20,0,0,0,2017,20,33,60.6,325,2,34,122,3.6,1,67,447,6.7,12,9,0,21,6,75,0,2,2
12,11/18/2017,,Massachusetts,L (10-16),21,45,46.7,257,1,26,42,1.6,0,71,299,4.2,10,7,0,17,5,35,0,4,4,2017,21,35,60,230,1,33,69,2.1,0,68,299,4.4,14,4,0,18,3,30,0,0,0
13,11/25/2017,@,Hawaii,W (30-20),14,24,58.3,166,1,54,285,5.3,3,78,451,5.8,10,14,2,26,1,6,2,0,2,2017,28,38,73.7,258,2,15,28,1.9,0,53,286,5.4,11,2,0,13,6,55,1,0,1
1,9/3/2016,N,Arizona,W (18-16),21,29,72.4,202,1,47,213,4.5,1,76,415,5.5,10,14,0,24,8,65,0,0,0,2016,20,30,66.7,213,0,26,115,4.4,2,56,328,5.9,9,6,2,17,4,20,0,2,2
2,9/10/2016,@,Utah,L (19-20),22,39,56.4,185,0,28,146,5.2,2,67,331,4.9,11,6,1,18,10,112,0,2,2,2016,14,23,60.9,194,1,42,169,4,0,65,363,5.6,8,9,3,20,9,85,3,3,6
3,9/17/2016,,UCLA,L (14-17),26,49,53.1,250,1,25,23,0.9,1,74,273,3.7,12,4,3,19,2,15,0,1,1,2016,26,40,65,307,2,34,50,1.5,0,74,357,4.8,14,3,1,18,5,49,0,1,1
4,9/24/2016,N,West Virginia,L (32-35),23,36,63.9,241,2,40,280,7,2,76,521,6.9,14,12,1,27,8,51,1,3,4,2016,31,40,77.5,332,1,35,149,4.3,3,75,481,6.4,17,7,2,26,4,38,1,1,2
5,9/30/2016,,Toledo,W (55-53),11,21,52.4,248,1,45,338,7.5,6,66,586,8.9,10,14,2,26,7,82,0,0,0,2016,30,38,78.9,505,5,41,187,4.6,2,79,692,8.8,19,10,4,33,8,81,0,2,2
6,10/8/2016,@,Michigan State,W (31-14),18,29,62.1,138,1,49,260,5.3,3,78,398,5.1,7,15,2,24,3,24,0,0,0,2016,13,21,61.9,121,0,32,85,2.7,2,53,206,3.9,7,5,1,13,4,39,0,1,1
7,10/14/2016,,Mississippi State,W (28-21),16,28,57.1,165,3,46,147,3.2,1,74,312,4.2,8,8,4,20,9,84,1,1,2,2016,18,37,48.6,223,1,49,163,3.3,2,86,386,4.5,11,9,3,23,7,63,0,2,2
8,10/20/2016,@,Boise State,L (27-28),21,41,51.2,187,0,38,135,3.6,1,79,322,4.1,9,9,1,19,7,61,0,0,0,2016,25,39,64.1,442,3,35,129,3.7,1,74,571,7.7,18,6,0,24,8,65,3,2,5
9,11/5/2016,@,Cincinnati,W (20-3),15,25,60,130,0,47,207,4.4,2,72,337,4.7,9,12,2,23,5,28,0,1,1,2016,19,32,59.4,199,0,25,96,3.8,0,57,295,5.2,12,4,0,16,4,40,0,1,1
10,11/12/2016,,Southern Utah,W (37-7),33,42,78.6,441,2,40,155,3.9,2,82,596,7.3,19,14,0,33,6,65,2,1,3,2016,19,33,57.6,144,1,18,21,1.2,0,51,165,3.2,3,2,2,7,2,20,0,1,1
11,11/19/2016,,Massachusetts,W (51-9),20,34,58.8,184,1,49,247,5,4,83,431,5.2,11,12,4,27,5,64,1,0,1,2016,27,40,67.5,288,1,20,40,2,0,60,328,5.5,10,3,1,14,9,94,2,2,4
12,11/26/2016,,Utah State,W (28-10),11,22,50,106,2,54,249,4.6,1,76,355,4.7,5,14,7,26,8,68,0,2,2,2016,12,23,52.2,103,0,28,97,3.5,1,51,200,3.9,6,4,1,11,11,94,1,1,2
13,12/21/2016,N,Wyoming*,W (24-21),8,15,53.3,96,1,35,216,6.2,2,50,312,6.2,5,7,1,13,5,63,1,1,2,2016,17,33,51.5,207,2,45,186,4.1,1,78,393,5,9,10,3,22,7,59,0,2,2
1,9/5/2015,@,Nebraska,W (33-28),28,46,60.9,379,2,26,132,5.1,2,72,511,7.1,13,7,1,21,4,30,0,1,1,2015,24,41,58.5,319,3,37,126,3.4,1,78,445,5.7,16,9,0,25,12,90,1,1,2
2,9/12/2015,,Boise State,W (35-24),17,29,58.6,309,2,39,72,1.8,2,68,381,5.6,0,0,0,16,5,54,0,2,2,2015,25,38,65.8,297,1,31,64,2.1,2,69,361,5.2,0,0,0,17,11,76,0,3,3
3,9/19/2015,@,UCLA,L (23-24),30,47,63.8,244,1,41,161,3.9,1,88,405,4.6,13,11,2,26,5,35,0,1,1,2015,11,23,47.8,106,1,38,296,7.8,2,61,402,6.6,6,12,0,18,6,75,0,3,3
4,9/26/2015,@,Michigan,L (0-31),12,28,42.9,55,0,22,50,2.3,0,50,105,2.1,2,4,2,8,5,45,0,0,0,2015,14,25,56,194,1,51,254,5,3,76,448,5.9,11,8,3,22,5,53,0,0,0
5,10/2/2015,,Connecticut,W (30-13),35,54,64.8,365,2,41,174,4.2,1,95,539,5.7,20,9,2,31,7,70,1,2,3,2015,14,28,50,168,1,27,62,2.3,0,55,230,4.2,9,3,2,14,5,43,0,2,2
6,10/10/2015,,East Carolina,W (45-38),25,38,65.8,341,3,43,167,3.9,3,81,508,6.3,13,11,2,26,7,61,1,1,2,2015,30,42,71.4,385,2,32,133,4.2,2,74,518,7,17,8,2,27,7,64,2,1,3
7,10/16/2015,,Cincinnati,W (38-24),19,32,59.4,252,2,29,197,6.8,3,61,449,7.4,10,7,5,22,10,74,0,1,1,2015,16,31,51.6,220,1,46,121,2.6,2,77,341,4.4,13,6,2,21,9,65,0,0,0
8,10/24/2015,,Wagner,W (70-6),23,27,85.2,411,4,42,330,7.9,6,69,741,10.7,16,15,0,31,7,55,0,0,0,2015,8,16,50,46,0,36,83,2.3,1,52,129,2.5,3,3,0,6,2,15,0,1,1
9,11/6/2015,@,San Jose State,W (17-16),23,37,62.2,293,1,25,36,1.4,1,62,329,5.3,14,3,0,17,7,84,0,1,1,2015,18,26,69.2,147,0,38,122,3.2,1,64,269,4.2,9,6,3,18,2,10,1,0,1
10,11/14/2015,N,Missouri,L (16-20),23,41,56.1,244,1,15,46,3.1,1,56,290,5.2,11,3,4,18,6,42,2,0,2,2015,19,28,67.9,244,1,55,190,3.5,1,83,434,5.2,12,9,2,23,8,91,1,1,2
11,11/21/2015,,Fresno State,W (52-10),26,39,66.7,362,2,34,158,4.6,4,73,520,7.1,18,4,0,22,7,70,2,0,2,2015,18,48,37.5,190,0,30,85,2.8,1,78,275,3.5,10,5,2,17,4,35,0,3,3
12,11/28/2015,@,Utah State,W (51-28),16,30,53.3,284,4,31,74,2.4,2,61,358,5.9,9,4,2,15,9,76,0,0,0,2015,20,45,44.4,243,1,43,202,4.7,3,88,445,5.1,10,12,1,23,8,70,2,0,2
13,12/19/2015,N,Utah*,L (28-35),25,56,44.6,315,2,25,71,2.8,2,81,386,4.8,12,5,4,22,6,54,2,3,5,2015,9,16,56.3,71,0,47,126,2.7,3,63,197,3.1,3,8,3,14,7,76,0,0,0
1,8/29/2014,@,Connecticut,W (35-10),28,36,77.8,308,3,37,205,5.5,2,73,513,7,13,11,3,27,15,150,2,0,2,2014,25,48,52.1,284,0,31,71,2.3,1,79,355,4.5,14,3,6,23,8,90,1,1,2
2,9/6/2014,@,Texas,W (41-7),18,28,64.3,181,0,60,248,4.1,5,88,429,4.9,12,15,1,28,6,40,1,1,2,2014,20,31,64.5,176,1,35,82,2.3,0,66,258,3.9,9,6,0,15,6,64,3,1,4
3,9/11/2014,,Houston,W (33-25),21,34,61.8,200,1,62,323,5.2,3,96,523,5.4,9,19,4,32,11,98,1,2,3,2014,31,53,58.5,315,3,13,10,0.8,0,66,325,4.9,14,1,3,18,8,83,0,0,0
4,9/20/2014,,Virginia,W (41-33),13,23,56.5,187,2,37,145,3.9,2,60,332,5.5,7,7,2,16,12,133,0,0,0,2014,35,58,60.3,327,1,44,192,4.4,2,102,519,5.1,18,11,6,35,8,86,1,1,2
5,10/3/2014,,Utah State,L (20-35),18,40,45,271,1,34,154,4.5,1,74,425,5.7,8,12,3,23,9,60,1,3,4,2014,19,25,76,321,3,46,136,3,2,71,457,6.4,12,7,3,22,12,105,1,0,1
6,10/9/2014,@,Central Florida,L (24-31),22,37,59.5,153,3,49,189,3.9,0,86,342,4,7,14,0,21,9,71,1,1,2,2014,30,52,57.7,326,2,33,63,1.9,2,85,389,4.6,16,4,2,22,4,44,2,2,4
7,10/18/2014,,Nevada,L (35-42),39,63,61.9,408,4,39,193,4.9,1,102,601,5.9,25,13,0,38,6,75,3,0,3,2014,26,40,65,285,1,36,126,3.5,4,76,411,5.4,12,7,1,20,6,36,0,0,0
8,10/24/2014,@,Boise State,L (30-55),23,38,60.5,259,1,26,63,2.4,2,64,322,5,12,4,1,17,7,70,1,1,2,2014,24,31,77.4,410,4,48,227,4.7,3,79,637,8.1,15,13,0,28,8,70,0,1,1
9,11/1/2014,@,Middle Tennessee State,W (27-7),28,45,62.2,316,2,39,128,3.3,2,84,444,5.3,15,9,1,25,7,70,0,0,0,2014,16,32,50,119,1,37,109,2.9,0,69,228,3.3,6,9,2,17,2,12,0,2,2
